Year,Month_Num,Month_Name,Region,Italians,Foreigners
2022,1,Gennaio,"Trento, Monte Bondone e Altopiano di Pinè",36680,13080
2022,1,Gennaio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",115759,14968
2022,1,Gennaio,Val di Fiemme e Val di Cembra,60445,43152
2022,1,Gennaio,Val di Fassa,208760,102203
2022,1,Gennaio,"San Martino di Castrozza, Primiero e Vanoi",54367,6765
2022,1,Gennaio,"Valsugana, Tesino e Valle dei Mocheni",11101,1545
2022,1,Gennaio,Altipiani cimbri e Vigolana,51516,18509
2022,1,Gennaio,"Rovereto, Vallagarina e Monte Baldo",19142,2302
2022,1,Gennaio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",21821,7674
2022,1,Gennaio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",119709,43534
2022,1,Gennaio,Val di Sole,124786,93705
2022,1,Gennaio,Val di Non,9302,488
2022,1,Gennaio,Provincia,833388,347925
2022,2,Febbraio,"Trento, Monte Bondone e Altopiano di Pinè",29853,21741
2022,2,Febbraio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",106967,32314
2022,2,Febbraio,Val di Fiemme e Val di Cembra,45994,64786
2022,2,Febbraio,Val di Fassa,168321,144828
2022,2,Febbraio,"San Martino di Castrozza, Primiero e Vanoi",51758,12148
2022,2,Febbraio,"Valsugana, Tesino e Valle dei Mocheni",6445,1411
2022,2,Febbraio,Altipiani cimbri e Vigolana,41768,27305
2022,2,Febbraio,"Rovereto, Vallagarina e Monte Baldo",13683,5019
2022,2,Febbraio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",10453,4912
2022,2,Febbraio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",100689,81289
2022,2,Febbraio,Val di Sole,86118,138618
2022,2,Febbraio,Val di Non,7904,621
2022,2,Febbraio,Provincia,669953,534992
2022,3,Marzo,"Trento, Monte Bondone e Altopiano di Pinè",29093,22341
2022,3,Marzo,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",77681,23087
2022,3,Marzo,Val di Fiemme e Val di Cembra,30254,61032
2022,3,Marzo,Val di Fassa,126868,129279
2022,3,Marzo,"San Martino di Castrozza, Primiero e Vanoi",36677,5323
2022,3,Marzo,"Valsugana, Tesino e Valle dei Mocheni",6600,2588
2022,3,Marzo,Altipiani cimbri e Vigolana,26156,16650
2022,3,Marzo,"Rovereto, Vallagarina e Monte Baldo",10824,2042
2022,3,Marzo,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",19303,31120
2022,3,Marzo,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",91216,59834
2022,3,Marzo,Val di Sole,94578,122542
2022,3,Marzo,Val di Non,5073,703
2022,3,Marzo,Provincia,554323,476541
2022,4,Aprile,"Trento, Monte Bondone e Altopiano di Pinè",24814,14171
2022,4,Aprile,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",8703,4045
2022,4,Aprile,Val di Fiemme e Val di Cembra,11124,14896
2022,4,Aprile,Val di Fassa,12929,9899
2022,4,Aprile,"San Martino di Castrozza, Primiero e Vanoi",9863,823
2022,4,Aprile,"Valsugana, Tesino e Valle dei Mocheni",11604,9827
2022,4,Aprile,Altipiani cimbri e Vigolana,2524,947
2022,4,Aprile,"Rovereto, Vallagarina e Monte Baldo",6345,4546
2022,4,Aprile,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",46104,141150
2022,4,Aprile,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",15842,10571
2022,4,Aprile,Val di Sole,13125,39219
2022,4,Aprile,Val di Non,8923,3390
2022,4,Aprile,Provincia,171900,253484
2022,5,Maggio,"Trento, Monte Bondone e Altopiano di Pinè",25258,18629
2022,5,Maggio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",10593,12007
2022,5,Maggio,Val di Fiemme e Val di Cembra,9181,6562
2022,5,Maggio,Val di Fassa,8948,4932
2022,5,Maggio,"San Martino di Castrozza, Primiero e Vanoi",2886,376
2022,5,Maggio,"Valsugana, Tesino e Valle dei Mocheni",15543,16810
2022,5,Maggio,Altipiani cimbri e Vigolana,6292,4075
2022,5,Maggio,"Rovereto, Vallagarina e Monte Baldo",7068,4921
2022,5,Maggio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",40723,176067
2022,5,Maggio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",5738,2168
2022,5,Maggio,Val di Sole,3983,4633
2022,5,Maggio,Val di Non,7304,4724
2022,5,Maggio,Provincia,143517,255904
2022,6,Giugno,"Trento, Monte Bondone e Altopiano di Pinè",29024,29642
2022,6,Giugno,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",93782,24624
2022,6,Giugno,Val di Fiemme e Val di Cembra,43021,19212
2022,6,Giugno,Val di Fassa,123411,33285
2022,6,Giugno,"San Martino di Castrozza, Primiero e Vanoi",33489,5054
2022,6,Giugno,"Valsugana, Tesino e Valle dei Mocheni",29733,28532
2022,6,Giugno,Altipiani cimbri e Vigolana,25623,6495
2022,6,Giugno,"Rovereto, Vallagarina e Monte Baldo",13536,7963
2022,6,Giugno,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",58547,242787
2022,6,Giugno,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",36268,9881
2022,6,Giugno,Val di Sole,41729,17588
2022,6,Giugno,Val di Non,12289,7712
2022,6,Giugno,Provincia,540452,432775
2022,7,Luglio,"Trento, Monte Bondone e Altopiano di Pinè",55655,36706
2022,7,Luglio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",223479,21591
2022,7,Luglio,Val di Fiemme e Val di Cembra,142735,16082
2022,7,Luglio,Val di Fassa,391475,45134
2022,7,Luglio,"San Martino di Castrozza, Primiero e Vanoi",107602,9669
2022,7,Luglio,"Valsugana, Tesino e Valle dei Mocheni",59514,29469
2022,7,Luglio,Altipiani cimbri e Vigolana,86297,7125
2022,7,Luglio,"Rovereto, Vallagarina e Monte Baldo",29095,8713
2022,7,Luglio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",77418,293291
2022,7,Luglio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",152453,24748
2022,7,Luglio,Val di Sole,201790,22701
2022,7,Luglio,Val di Non,34407,7584
2022,7,Luglio,Provincia,1561920,522813
2022,8,Agosto,"Trento, Monte Bondone e Altopiano di Pinè",77177,31704
2022,8,Agosto,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",262349,14519
2022,8,Agosto,Val di Fiemme e Val di Cembra,173125,9276
2022,8,Agosto,Val di Fassa,450156,29007
2022,8,Agosto,"San Martino di Castrozza, Primiero e Vanoi",130528,4810
2022,8,Agosto,"Valsugana, Tesino e Valle dei Mocheni",79732,25662
2022,8,Agosto,Altipiani cimbri e Vigolana,103457,5391
2022,8,Agosto,"Rovereto, Vallagarina e Monte Baldo",31908,8293
2022,8,Agosto,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",129379,270550
2022,8,Agosto,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",207113,12749
2022,8,Agosto,Val di Sole,261071,16785
2022,8,Agosto,Val di Non,45458,6958
2022,8,Agosto,Provincia,1951453,435704
2022,9,Settembre,"Trento, Monte Bondone e Altopiano di Pinè",30092,34367
2022,9,Settembre,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",84658,30316
2022,9,Settembre,Val di Fiemme e Val di Cembra,47618,21980
2022,9,Settembre,Val di Fassa,139623,38312
2022,9,Settembre,"San Martino di Castrozza, Primiero e Vanoi",46896,5512
2022,9,Settembre,"Valsugana, Tesino e Valle dei Mocheni",34126,28939
2022,9,Settembre,Altipiani cimbri e Vigolana,20011,6866
2022,9,Settembre,"Rovereto, Vallagarina e Monte Baldo",12861,7925
2022,9,Settembre,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",53483,241685
2022,9,Settembre,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",46292,14320
2022,9,Settembre,Val di Sole,48403,26325
2022,9,Settembre,Val di Non,15785,9982
2022,9,Settembre,Provincia,579848,466529
2022,10,Ottobre,"Trento, Monte Bondone e Altopiano di Pinè",30464,22247
2022,10,Ottobre,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",15423,13767
2022,10,Ottobre,Val di Fiemme e Val di Cembra,10520,10377
2022,10,Ottobre,Val di Fassa,17291,7645
2022,10,Ottobre,"San Martino di Castrozza, Primiero e Vanoi",14085,1284
2022,10,Ottobre,"Valsugana, Tesino e Valle dei Mocheni",13571,11782
2022,10,Ottobre,Altipiani cimbri e Vigolana,2306,1241
2022,10,Ottobre,"Rovereto, Vallagarina e Monte Baldo",10578,5798
2022,10,Ottobre,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",51708,153616
2022,10,Ottobre,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",8446,3077
2022,10,Ottobre,Val di Sole,8737,8782
2022,10,Ottobre,Val di Non,12855,5830
2022,10,Ottobre,Provincia,195984,245446
2022,11,Novembre,"Trento, Monte Bondone e Altopiano di Pinè",31016,8832
2022,11,Novembre,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",5978,1606
2022,11,Novembre,Val di Fiemme e Val di Cembra,2580,2020
2022,11,Novembre,Val di Fassa,8929,2184
2022,11,Novembre,"San Martino di Castrozza, Primiero e Vanoi",3823,292
2022,11,Novembre,"Valsugana, Tesino e Valle dei Mocheni",9232,2178
2022,11,Novembre,Altipiani cimbri e Vigolana,523,287
2022,11,Novembre,"Rovereto, Vallagarina e Monte Baldo",6619,2577
2022,11,Novembre,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",18050,27357
2022,11,Novembre,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",7122,2102
2022,11,Novembre,Val di Sole,1974,711
2022,11,Novembre,Val di Non,4679,1069
2022,11,Novembre,Provincia,100525,51215
2022,12,Dicembre,"Trento, Monte Bondone e Altopiano di Pinè",59434,14359
2022,12,Dicembre,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",87643,12145
2022,12,Dicembre,Val di Fiemme e Val di Cembra,63342,42195
2022,12,Dicembre,Val di Fassa,166388,56048
2022,12,Dicembre,"San Martino di Castrozza, Primiero e Vanoi",46948,3298
2022,12,Dicembre,"Valsugana, Tesino e Valle dei Mocheni",20635,1895
2022,12,Dicembre,Altipiani cimbri e Vigolana,38378,9511
2022,12,Dicembre,"Rovereto, Vallagarina e Monte Baldo",15556,2620
2022,12,Dicembre,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",37256,17821
2022,12,Dicembre,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",103491,40815
2022,12,Dicembre,Val di Sole,106482,89478
2022,12,Dicembre,Val di Non,14051,2618
2022,12,Dicembre,Provincia,759604,292803
2022,0,Total,"Trento, Monte Bondone e Altopiano di Pinè",458560,267819
2022,0,Total,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",1093015,204989
2022,0,Total,Val di Fiemme e Val di Cembra,639939,311570
2022,0,Total,Val di Fassa,1823099,602756
2022,0,Total,"San Martino di Castrozza, Primiero e Vanoi",538922,55354
2022,0,Total,"Valsugana, Tesino e Valle dei Mocheni",297836,160638
2022,0,Total,Altipiani cimbri e Vigolana,404851,104402
2022,0,Total,"Rovereto, Vallagarina e Monte Baldo",177215,62719
2022,0,Total,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",564245,1608030
2022,0,Total,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",894379,305088
2022,0,Total,Val di Sole,992776,581087
2022,0,Total,Val di Non,178030,51679
2022,0,Total,Provincia,8062867,4316131
2023,1,Gennaio,"Trento, Monte Bondone e Altopiano di Pinè",52565,25168
2023,1,Gennaio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",165448,30018
2023,1,Gennaio,Val di Fiemme e Val di Cembra,73131,67060
2023,1,Gennaio,Val di Fassa,260415,151772
2023,1,Gennaio,"San Martino di Castrozza, Primiero e Vanoi",78300,12296
2023,1,Gennaio,"Valsugana, Tesino e Valle dei Mocheni",12548,2609
2023,1,Gennaio,Altipiani cimbri e Vigolana,56808,36432
2023,1,Gennaio,"Rovereto, Vallagarina e Monte Baldo",23356,4149
2023,1,Gennaio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",25711,16915
2023,1,Gennaio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",146321,71051
2023,1,Gennaio,Val di Sole,170275,146721
2023,1,Gennaio,Val di Non,13493,1096
2023,1,Gennaio,Provincia,1078371,565287
2023,2,Febbraio,"Trento, Monte Bondone e Altopiano di Pinè",35449,38717
2023,2,Febbraio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",134023,51076
2023,2,Febbraio,Val di Fiemme e Val di Cembra,48119,94567
2023,2,Febbraio,Val di Fassa,193471,215487
2023,2,Febbraio,"San Martino di Castrozza, Primiero e Vanoi",69316,24005
2023,2,Febbraio,"Valsugana, Tesino e Valle dei Mocheni",6893,3998
2023,2,Febbraio,Altipiani cimbri e Vigolana,42429,53238
2023,2,Febbraio,"Rovereto, Vallagarina e Monte Baldo",18070,8656
2023,2,Febbraio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",12301,8492
2023,2,Febbraio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",108296,110286
2023,2,Febbraio,Val di Sole,100898,209984
2023,2,Febbraio,Val di Non,8927,1802
2023,2,Febbraio,Provincia,778192,820308
2023,3,Marzo,"Trento, Monte Bondone e Altopiano di Pinè",32960,29534
2023,3,Marzo,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",89658,25218
2023,3,Marzo,Val di Fiemme e Val di Cembra,30688,69474
2023,3,Marzo,Val di Fassa,119887,151383
2023,3,Marzo,"San Martino di Castrozza, Primiero e Vanoi",36752,6637
2023,3,Marzo,"Valsugana, Tesino e Valle dei Mocheni",8778,2649
2023,3,Marzo,Altipiani cimbri e Vigolana,29480,28718
2023,3,Marzo,"Rovereto, Vallagarina e Monte Baldo",14627,3424
2023,3,Marzo,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",16597,42977
2023,3,Marzo,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",89056,71210
2023,3,Marzo,Val di Sole,107013,138517
2023,3,Marzo,Val di Non,4778,1567
2023,3,Marzo,Provincia,580274,571308
2023,4,Aprile,"Trento, Monte Bondone e Altopiano di Pinè",27760,19857
2023,4,Aprile,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",12175,6074
2023,4,Aprile,Val di Fiemme e Val di Cembra,11862,16694
2023,4,Aprile,Val di Fassa,19096,14880
2023,4,Aprile,"San Martino di Castrozza, Primiero e Vanoi",7960,316
2023,4,Aprile,"Valsugana, Tesino e Valle dei Mocheni",16754,11968
2023,4,Aprile,Altipiani cimbri e Vigolana,2176,513
2023,4,Aprile,"Rovereto, Vallagarina e Monte Baldo",9312,5537
2023,4,Aprile,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",57470,165646
2023,4,Aprile,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",15004,11463
2023,4,Aprile,Val di Sole,13336,44470
2023,4,Aprile,Val di Non,10309,4356
2023,4,Aprile,Provincia,203214,301774
2023,5,Maggio,"Trento, Monte Bondone e Altopiano di Pinè",25775,25231
2023,5,Maggio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",9257,16631
2023,5,Maggio,Val di Fiemme e Val di Cembra,5945,10604
2023,5,Maggio,Val di Fassa,6135,6689
2023,5,Maggio,"San Martino di Castrozza, Primiero e Vanoi",5410,650
2023,5,Maggio,"Valsugana, Tesino e Valle dei Mocheni",16167,20232
2023,5,Maggio,Altipiani cimbri e Vigolana,1269,1321
2023,5,Maggio,"Rovereto, Vallagarina e Monte Baldo",8930,7662
2023,5,Maggio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",30582,201859
2023,5,Maggio,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",4790,2418
2023,5,Maggio,Val di Sole,5269,4973
2023,5,Maggio,Val di Non,7474,6716
2023,5,Maggio,Provincia,127003,304986
2023,6,Giugno,"Trento, Monte Bondone e Altopiano di Pinè",30099,33302
2023,6,Giugno,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",89349,25036
2023,6,Giugno,Val di Fiemme e Val di Cembra,45285,19063
2023,6,Giugno,Val di Fassa,119418,42523
2023,6,Giugno,"San Martino di Castrozza, Primiero e Vanoi",36761,5074
2023,6,Giugno,"Valsugana, Tesino e Valle dei Mocheni",30189,27454
2023,6,Giugno,Altipiani cimbri e Vigolana,22439,6680
2023,6,Giugno,"Rovereto, Vallagarina e Monte Baldo",15993,8377
2023,6,Giugno,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",52918,236462
2023,6,Giugno,"Madonna di Campiglio, Pinzolo, Val Rendena, Giudicarie centrali e Valle del Chiese",39352,9511
2023,6,Giugno,Val di Sole,40247,20756
2023,6,Giugno,Val di Non,13169,9380
2023,6,Giugno,Provincia,535219,443618
2023,7,Luglio,"Trento, Monte Bondone e Altopiano di Pinè",53189,38913
2023,7,Luglio,"Altopiano della Paganella, Piana della Rotaliana e San Lorenzo Dorsino",217415,22403
2023,7,Luglio,Val di Fiemme e Val di Cembra,138481,16051
2023,7,Luglio,Val di Fassa,376680,48439
2023,7,Luglio,"San Martino di Castrozza, Primiero e Vanoi",108932,10599
2023,7,Luglio,"Valsugana, Tesino e Valle dei Mocheni",55414,28973
2023,7,Luglio,Altipiani cimbri e Vigolana,72683,7624
2023,7,Luglio,"Rovereto, Vallagarina e Monte Baldo",30257,10356
2023,7,Luglio,"Garda trentino, Valle di Ledro, Terme di Comano e Valle dei Laghi",72366,297230
